Timestamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
2026-05-22T15:35:18.342570,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.343053,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.343845,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.372115,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.372687,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.372837,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.401808,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.402291,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.402392,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.431194,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.431861,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.434903,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.462119,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.463112,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.463271,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.493674,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.494276,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.494660,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.524538,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.525088,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.553255,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.553859,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.554006,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.554130,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.581327,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.582175,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.582429,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.611358,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.612074,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.613793,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.642944,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.643344,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.643427,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.671651,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.672137,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.673773,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.703214,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.703712,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.703850,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.732990,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.733483,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.733789,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.762785,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.763250,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.763433,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.791694,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.792213,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.793591,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.822923,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.823338,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.852572,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.852934,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.853066,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.853166,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.881405,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.882367,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.882729,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.911394,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.912700,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.913323,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.941553,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.942187,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.942324,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.971638,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.972186,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:18.975187,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.002834,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.003480,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.003636,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.031764,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.032287,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.033752,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.062797,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.063533,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.063736,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.091794,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.092395,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.093749,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.122857,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.123384,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.151387,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.152058,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.152303,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.153157,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.181446,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.182584,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.182880,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.211930,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.212727,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.241626,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.242253,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.243448,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.271669,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.272316,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.272493,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.273371,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.301597,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.302206,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.302466,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.331612,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.332050,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.334516,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.362743,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.363281,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.363422,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.391761,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.392721,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.393025,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.422303,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.422712,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.451229,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.452174,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.452508,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.453197,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.482847,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.483221,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.483597,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.513464,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.513933,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.542662,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.543309,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.543469,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.545541,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.573968,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:19.574447,0.0,0.0,0.0,0.0,-0.0,0.0
